X1,anger,disgust,fear,joy,sadness,analytical,confident,tentative,openness,conscientiousness,extraversion,agreeableness,emotional_range
" Oh, great. ",0,0,0,1,0,0,0,0,0.24,0.28,0.57,0.61,0.43
 Watch as happiness is synthesized. ,0,0,0,0.99,0,0,0,0,0.29,0.31,0.41,0.64,0.03
 Because happiness can be synthesized. ,0,0,0,0.98,0,0,0,0,0.38,0.31,0.2,0.6,0.04
Very cool.(Laughter)Darling. ,0,0,0.01,0.96,0,0,0.96,0,0.49,0.27,0.55,0.64,0.11
It's self-inspired. ,0,0.01,0.02,0.95,0.01,0,0,0,0.77,0.28,0.55,0.62,0.17
Here are three guys synthesizing happiness. ,0,0,0,0.94,0.01,0,0,0,0.35,0.45,0.57,0.66,0.1
It's wonderful to be back. ,0.01,0,0.01,0.94,0,0,0,0,0.4,0.39,0.5,0.77,0.44
I love this wonderful gathering. ,0,0,0,0.94,0,0,0,0,0.59,0.38,0.73,0.79,0.32
I'm really excited to be here today. ,0.01,0,0.02,0.92,0.03,0,0,0,0.02,0.33,0.58,0.84,0.01
And that's an amazing thing. ,0,0,0.02,0.92,0.01,0,0,0,0.73,0.24,0.74,0.83,0.19
Beautiful stuff. ,0,0,0.02,0.91,0.06,0,0,0,0.4,0.28,0.56,0.61,0.22
Beautiful day. ,0,0,0.02,0.9,0.07,0,0,0,0.18,0.27,0.54,0.6,0.3
I'm the luckiest guy in the world. ,0.01,0.01,0.02,0.9,0.05,0,0,0,0.25,0.24,0.56,0.53,0.26
" Well, it's pretty good. ",0.01,0,0.01,0.89,0.02,0,0,0,0.3,0.29,0.52,0.62,0.45
There's some amazing spiritual connect. ,0,0,0.05,0.89,0.01,0,0,0,0.55,0.23,0.62,0.64,0.09
Alligator had finally shown up. ,0.02,0.01,0.01,0.88,0.04,0,0,0,0.24,0.45,0.34,0.56,0.37
"First of all, how good is it?",0.01,0,0.02,0.88,0.03,0,0,0,0.84,0.93,0.4,0.32,0.89
Good morning. ,0.02,0,0.01,0.88,0.01,0,0,0,0.23,0.27,0.54,0.6,0.31
"So, it wasn't entertaining at all. ",0,0,0,0.88,0,0,0,0,0.27,0.34,0.66,0.84,0.23
And here are some of my favorites. ,0,0,0,0.88,0,0,0,0,0.98,0.67,0.81,0.72,0.22
So I was 18; I was very excited. ,0,0,0,0.88,0,0,0,0,0.12,0.24,0.43,0.67,0.06
"(Laughter)It's been great, hasn't it?",0,0,0.01,0.88,0,0,0,0,0.15,0.25,0.27,0.67,0.04
That's great. ,0,0,0,0.88,0,0,0,0,0.52,0.29,0.63,0.64,0.72
So is there any hope?,0,0,0,0.88,0,0,0,0,0.38,0.19,0.41,0.64,0.1
"""What do you like?",0,0,0,0.88,0,0,0,0,0.18,0.42,0.54,0.63,0.64
We had a reward. ,0,0,0,0.88,0,0,0,0,0.31,0.33,0.45,0.63,0.71
This is wonderful. ,0,0,0,0.88,0,0,0,0,0.59,0.29,0.59,0.61,0.27
(Laughter)Are you?,0,0,0,0.88,0,0,0,0,0.4,0.28,0.54,0.61,0.18
 And who pays?,0,0,0,0.88,0,0,0,0,0.37,0.28,0.58,0.6,0.4
Thank you. ,0,0,0,0.88,0,0,0,0,0.36,0.28,0.55,0.6,0.44
(Applause) What?,0,0,0,0.88,0,0,0,0,0.3,0.27,0.55,0.6,0.31
Thank you. ,0,0,0,0.88,0,0,0,0,0.36,0.28,0.55,0.6,0.44
It's exciting. ,0,0,0,0.88,0,0,0,0,0.28,0.27,0.54,0.6,0.22
(Applause),0,0,0,0.88,0,0,0,0,0.29,0.27,0.54,0.6,0.29
"If you don't grow, you're what?",0,0,0,0.88,0,0,0,0,0.19,0.33,0.5,0.48,0.19
 Animally?,0,0,0,0.88,0,0,0,0,0.07,0.15,0.27,0.46,0
Teachers are now saying it's kind of fun to teach. ,0.05,0.01,0.01,0.87,0.03,0,0,0,0.43,0.52,0.16,0.63,0.19
You're watching happiness be synthesized. ,0,0,0.01,0.87,0.01,0,0,0,0.23,0.17,0.53,0.72,0.01
"You can feel the difference in him, and it's beautiful. ",0,0,0.02,0.86,0.04,0,0,0,0.74,0.33,0.53,0.98,0.13
Gorgeous beach. ,0.01,0.01,0.02,0.86,0.01,0,0,0,0.29,0.27,0.54,0.6,0.29
